-03-20		Today on Earth is the vernal equinox (northern hemisphere).
-06-20		Today on Earth is the summer solstice (northern hemisphere).
-09-22		Today on Earth is the autumnal equinox (northern hemisphere).
-12-21		Today on Earth is the winter solstice (northern hemisphere).
	-01-01	Today on Mars is the vernal equinox (northern hemisphere).
	-07-27	Today on Mars is the summer solstice (northern hemisphere).
	-14-11	Today on Mars is the autumnal equinox (northern hemisphere).
	-19-14	Today on Mars is the winter solstice (northern hemisphere).
-12-28		Start of the Quadrantid meteor shower. Visible: 28 Dec-12 Jan, Peak: 3-4 Jan, ZHR: 110, Radiant: Bootes. Bluish/yellowish-white meteors with fine trains.
-01-03		Peak of the Quadrantid meteor shower. Visible: 28 Dec-12 Jan, Peak: 3-4 Jan, ZHR: 110, Radiant: Bootes. Bluish/yellowish-white meteors with fine trains.
-04-16		Start of the Lyrid meteor shower. Visible: 16–25 Apr, Peak: 22/23 Apr, ZHR: 15-20, Radiant: Lyra. Bright fast meteors, some with trains. Associated with Comet Thatcher.
-04-22		Peak of the Lyrid meteor shower. Visible: 16–25 Apr, Peak: 22/23 Apr, ZHR: 15-20, Radiant: Lyra. Bright fast meteors, some with trains. Associated with Comet Thatcher.
-04-19		Start of the Eta Aquarid meteor shower. Visible: 19 Apr-28 May, Peak: 6 May, ZHR: 50, Radiant: Aquarius/Eta Aquarii. Low in sky. Associated with Comet Halley.
-05-06		Peak of the Eta Aquarid meteor shower. Visible: 19 Apr-28 May, Peak: 6 May, ZHR: 50, Radiant: Aquarius/Eta Aquarii. Low in sky. Associated with Comet Halley.
-07-12		Start of the Delta Aquarid meteor shower. Visible: 12 Jul-23 Aug, Peak: 30 Jul, ZHR: 25, Radiant: Aquarius/Delta Aquarii.Steady stream of meteors over several days but a low rate per hour.
-07-30		Peak of the Delta Aquarid meteor shower. Visible: 12 Jul-23 Aug, Peak: 30 Jul, ZHR: 25, Radiant: Aquarius/Delta Aquarii.Steady stream of meteors over several days but a low rate per hour.
-07-17		Start of the Perseid meteor shower. Visible: 17 July–24 Aug, Peak: 13 Aug, ZHR: of 100–150, Radiant: Perseus. Many bright fast meteors with trains. Associated with Comet Swift-Tuttle.
-08-13		Peak of the Perseid meteor shower. Visible: 17 July–24 Aug, Peak: 13 Aug, ZHR: of 100–150, Radiant: Perseus. Many bright fast meteors with trains. Associated with Comet Swift-Tuttle.
-10-06		Start of the Draconid meteor shower. Visible: 6–10 Oct, Peak: 7 Oct, ZHR: 5, Radiant: Draco. Associated with Comet 21/P Giacobini-Zimmer.
-10-07		Peak of the Draconid meteor shower. Visible: 6–10 Oct, Peak: 7 Oct, ZHR: 5, Radiant: Draco. Associated with Comet 21/P Giacobini-Zimmer.
-10-02		Start of the Orionid meteor shower. Visible: 2 Oct–7 Nov, Peak: 21/22 Oct, ZHR: 20, Radiant: Orion. Fast with fine trains. Associated with Comet Halley.
