# Earth solar events
-01-02		Today on Earth is the perihelion when the planet reaches its closest approach to the sun.
-03-20		Today on Earth is the vernal equinox (northern hemisphere).
-06-20		Today on Earth is the summer solstice (northern hemisphere) as the tilt of the axis aligns with the sun.
-07-06		Today on Earth is the aphelion when the planet reaches its farthest distance from the sun.
-09-22		Today on Earth is the autumnal equinox (northern hemisphere).
-12-21		Today on Earth is the winter solstice (northern hemisphere) as the tilt of the axis aligns with the sun.

# Mars solar events
	-01-01	Today on Mars is the vernal equinox (northern hemisphere).
	-06-12	Today on Mars is the aphelion when the planet reaches its farthest distance from the sun.
	-07-27	Today on Mars is the summer solstice (northern hemisphere).
	-14-11	Today on Mars is the autumnal equinox (northern hemisphere).
	-18-12	Today on Mars is the perihelion when the planet reaches its closest approach to the sun.
	-19-14	Today on Mars is the winter solstice (northern hemisphere).

# Earth meteor showers
-12-28		Today is the start of the Quadrantid meteor shower. Visible: 28 Dec-12 Jan, Peak: 3/4 Jan +MP:-01-03+, ZHR: 110, Radiant: Bootes. Bluish/yellowish-white meteors with fine trains.
-01-03		Today is the peak of the Quadrantid meteor shower. Visible: 28 Dec-12 Jan, Peak: 3/4 Jan +MP:-01-03+, ZHR: 110, Radiant: Bootes. Bluish/yellowish-white meteors with fine trains.
-04-16		Today is the start of the Lyrid meteor shower. Visible: 16-25 Apr, Peak: 22/23 Apr +MP:-04-22+, ZHR: 15-20, Radiant: Lyra. Bright fast meteors, some with trains. Associated with Comet Thatcher.
-04-22		Today is the peak of the Lyrid meteor shower. Visible: 16-25 Apr, Peak: 22/23 Apr +MP:-04-22+, ZHR: 15-20, Radiant: Lyra. Bright fast meteors, some with trains. Associated with Comet Thatcher.
-04-19		Today is the start of the Eta Aquarid meteor shower. Visible: 19 Apr-28 May, Peak: 6 May +MP:-05-06+, ZHR: 50, Radiant: Aquarius/Eta Aquarii. Low in sky. Associated with Comet Halley.
-05-06		Today is the peak of the Eta Aquarid meteor shower. Visible: 19 Apr-28 May, Peak: 6 May +MP:-05-06+, ZHR: 50, Radiant: Aquarius/Eta Aquarii. Low in sky. Associated with Comet Halley.
-07-12		Today is the start of the Delta Aquarid meteor shower. Visible: 12 Jul-23 Aug, Peak: 30 Jul +MP:-07-30+, ZHR: 25, Radiant: Aquarius/Delta Aquarii. Steady stream of meteors over several days but a low rate per hour.
-07-30		Today is the peak of the Delta Aquarid meteor shower. Visible: 12 Jul-23 Aug, Peak: 30 Jul +MP:-07-30+, ZHR: 25, Radiant: Aquarius/Delta Aquarii. Steady stream of meteors over several days but a low rate per hour.
-07-17		Today is the start of the Perseid meteor shower. Visible: 17 July-24 Aug, Peak: 13 Aug +MP:-08-13+, ZHR: of 100-150, Radiant: Perseus. Many bright fast meteors with trains. Associated with Comet Swift-Tuttle.
-08-13		Today is the peak of the Perseid meteor shower. Visible: 17 July-24 Aug, Peak: 13 Aug +MP:-08-13+, ZHR: of 100-150, Radiant: Perseus. Many bright fast meteors with trains. Associated with Comet Swift-Tuttle.
-10-06		Today is the start of the Draconid meteor shower. Visible: 6-10 Oct, Peak: 7 Oct +MP:-10-07+, ZHR: 5, Radiant: Draco. Associated with Comet 21/P Giacobini-Zimmer.
-10-07		Today is the peak of the Draconid meteor shower. Visible: 6-10 Oct, Peak: 7 Oct +MP:-10-07+, ZHR: 5, Radiant: Draco. Associated with Comet 21/P Giacobini-Zimmer.
-10-02		Today is the start of the Orionid meteor shower. Visible: 2 Oct-7 Nov, Peak: 21/22 Oct +MP:-10-22+, ZHR: 20, Radiant: Orion. Fast with fine trains. Associated with Comet Halley.
-10-21		Today is the peak of the Orionid meteor shower. Visible: 2 Oct-7 Nov, Peak: 21/22 Oct +MP:-10-22+, ZHR: 20, Radiant: Orion. Fast with fine trains. Associated with Comet Halley.
-11-06		Today is the start of the Leonid meteor shower. Visible: 6-30 Nov, Peak: 17/18 Nov +MP:-11-17+, ZHR: 10-15, Radiant: Leo. Fast bright meteors with fine trains. Associated with Comet Tempel-Tuttle.
-11-17		Today is the peak of the Leonid meteor shower. Visible: 6-30 Nov, Peak: 17/18 Nov +MP:-11-17+, ZHR: 10-15, Radiant: Leo. Fast bright meteors with fine trains. Associated with Comet Tempel-Tuttle.
-12-07		Today is the start of the Geminid meteor shower. Visible: 7-17 Dec, Peak: 13/14 Dec +MP:-12-13+, ZHR: 150, Radiant: Gemini. Plenty of bright meteors, few trains.
-12-13		Today is the peak of the Geminid meteor shower. Visible: 7-17 Dec, Peak: 13/14 Dec +MP:-12-13+, ZHR: 150, Radiant: Gemini. Plenty of bright meteors, few trains.

# Earth Constellations
-03-21		Today, from the persepective of Earth, the sun moves into the constellation of Aries +SY:Ari+.
-04-21		Today, from the persepective of Earth, the sun moves into the constellation of Taurus +SY:Tau+.
-05-22		Today, from the persepective of Earth, the sun moves into the constellation of Gemini +SY:Gem+.
-06-24		Today, from the persepective of Earth, the sun moves into the constellation of Cancer +SY:Cnc+.
-07-24		Today, from the persepective of Earth, the sun moves into the constellation of Leo +SY:Leo+.
-08-24		Today, from the persepective of Earth, the sun moves into the constellation of Virgo +SY:Vir+.
-09-23		Today, from the persepective of Earth, the sun moves into the constellation of Libra +SY:Lib+.
-10-24		Today, from the persepective of Earth, the sun moves into the constellation of Scorpius +SY:Sco+.
-11-23		Today, from the persepective of Earth, the sun moves into the constellation of Sagittarius +SY:Sgr+.
-12-22		Today, from the persepective of Earth, the sun moves into the constellation of Capricorn +SY:Cap+.
-01-21		Today, from the persepective of Earth, the sun moves into the constellation of Aquarius +SY:Aqr+.
-02-20		Today, from the persepective of Earth, the sun moves into the constellation of Pisces +SY:Psc+.

# Mars Constellations
	-02-01	The constellation of Sagittarius +SY:Sgr+ takes its name from the Latin for archer. The Sanskrit counterpart is Dhanus meaning bow. They are used as the 1st and 2nd months of the Darian calendar.
	-04-01	The constellation of Capricorn +SY:Cap+ takes its name from the Latin for goat's horn. The Sanskrit counterpart, Makara, refers to a sea-monster sometimes depicted as a crocodile. They are used as the 3rd and 4th months of the Darian calendar.
	-06-01	The constellation of Aquarius +SY:Aqr+ takes its name from the Latin for water-carrier. The Sanskrit counterpart is Kumbha, a type of pot used for water. They are used as the 5th and 6th months of the Darian calendar.
	-08-01	The constellation of Pisces +SY:Psc+ takes its name from the Latin for fish. The Sanskrit counterpart, Mina, has the same meaning. They are used as the names of the 7th and 8th months of the Darian calendar.
	-10-01	The constellation of Aries +SY:Ari+ takes its name from the Latin for ram. The Sanskrit counterpart is Mesha meaning sheep. They are used as the names of the 9th and 10th months of the Darian calendar.
	-12-01	The constellation of Taurus +SY:Tau+ takes its name from the Latin for bull. The Sanskrit counterpart, Rishabha, has the same meaning. They are used as the 11th and 12 months of the Darian calendar.
	-14-01	The constellation of Gemini +SY:Gem+ takes its name from the Latin for twins. The Sanskrit counterpart is Mithuna meaning paired. They are used as the 13th and 14th months of the Darian calendar.
	-16-01	The constellation of Cancer +SY:Cnc+ takes its name from the Latin for crab. The Sanskrit counterpart, Karka, has the same meaning. They are used as the 15th and 16th months of the Darian calendar.
	-18-01	The constellation of Leo +SY:Leo+ takes its name from the Latin for lion. The Sanskrit counterpart, Simha, has the same meaning. They are used as the 17th and 18th months of the Darian calendar.
	-20-01	The constellation of Virgo +SY:Vir+ takes its name from the Latin for maiden. The Sanskrit counterpart, Kanya, has the same meaning. They are used as the 19th and 20th months of the Darian calendar.
	-22-01	The constellation of Libra +SY:Lib+ takes its name from the Latin for scales. The Sanskrit counterpart, Tula, has the same meaning. They are used as the 21st and 22nd months of the Darian calendar.
